sample.ID,sample.desc,sample.type,stotal.read
Z4006TR01,male.flower,flower,24827234
Z4006TR02,vegetative.shoots,shoots,23797169
Z4006TR03,year2009.needles,needles,24188191
Z4006TR04,year2008.needles,needles,23095399
Z4006TR05,year2009.infected.needles,needles,23504948
Z4006TR07,year2010.vegetative.shoots,shoots,24025688
Z4006TR08,pineapple.galls,galls,23345334
Z4006TR09,buds,buds,24594322
Z3001TR10,female.flower,flower,24142621
Z4006TR11,year2010.vegetative.shoots.needles,needles,24537590
Z4006TR12,year2010.vegetative.shoots.stem,wood,23287473
Z4006TR13,year2010.vegetative.shoots.needles,needles,24077054
Z4006TR15,buds,buds,23846759
Z4006TR16,dried.twig.needles,needles,23178302
Z4006TR18,girdled.twig.needles,needles,24061272
Z4006TR19,girdled.twig.stem,wood,21961993
Z4006TR20,year2010.dawn.needles,needles,23174557
Z4006TR21,year2010.mid.day.needles,needles,23465880
Z4006TR22,year2010.late.afternoon.needles,needles,23309640
Z4006TR23,year2010.night.needles,needles,23795641
Z4006TR24,wood,wood,23352912
Z4006TR25,wood,wood,24830162
